項次,拉丁學名,中文學名,單位,採集日,採集人,保育動物,珍稀植物,IUCN,CITES,經度,緯度,物種代碼,永久識別碼,dataFrom
97,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2012/4/11 07:00,陳美汀,,,,,120.7,24.531,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:24722,biosurvey
98,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2012/4/11 09:00,陳美汀,,,,,120.741,24.49,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:24723,biosurvey
99,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2013/3/21 21:00,陳美汀,,,,,120.791,24.551,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:24724,biosurvey
100,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2013/1/2 17:00,陳美汀,,,,,120.839,24.408,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:24725,biosurvey
101,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2013/2/26 20:00,陳美汀,,,,,120.789,24.416,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:24726,biosurvey
102,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2012/10/31 05:00,陳美汀,,,,,120.815,24.412,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:24727,biosurvey
103,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2013/7/27 18:00,陳美汀,,,,,120.878,24.31,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:24728,biosurvey
104,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2013/7/15 16:00,陳美汀,,,,,120.847,24.338,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:24729,biosurvey
105,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2013/8/19 03:00,陳美汀,,,,,120.84,24.323,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:24730,biosurvey
106,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2012/3/9 19:00,陳美汀,,,,,120.762,24.587,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:24731,biosurvey
107,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2012/11/17 01:00,陳美汀,,,,,120.773,24.601,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:24732,biosurvey
108,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2012/3/18 20:00,陳美汀,,,,,120.786,24.385,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:24733,biosurvey
109,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2012/2/27 23:00,陳美汀,,,,,120.804,24.369,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:24734,biosurvey
110,"Prionailurus bengalensis (Kerr, 1792)",石虎;華南豹貓;豹貓;山貓;金錢貓,林務局,2012/4/3 21:00,陳美汀,,,,,120.766,24.475,416107,urn:lsid:ngis.forest.gov.tw:BiologicalSurvey:24735,biosurvey
